POI ID,대명칭,중명칭,위도,경도,위도,,,,,,,,,,,,,,,,,,,X (N),Y (E),,가좌역,연남동,동교어린이공원,연트럴파크,홍대입구역 6번출구,참새방앗간 ,서강대역,서강대총동창회관,광성벤처프라자,공덕 파크자이,공덕역,브라운스톤 공덕,효창 푸르지오,효창공원역,,제한거리
102552,성원개발,개방,37.50690459,127.061276,37.50690459,,,,,,,,,,,,,,,,,,,445278.071,205417.2102,,14355.75293,13859.95194,13527.78019,13200.50927,12944.82319,12610.64242,12177.25908,11809.4111,11205.39826,10813.13735,10534.39731,10133.30457,9840.268205,9549.273363,,
102487,동도상가,개방,37.52828255,127.0378378,37.52828255,,,,,,,,,,,,,,,,,,,447649.4096,203344.1616,,11472.04342,11005.19033,10698.20709,10394.20739,10139.69979,9814.693603,9408.752054,9057.836206,8495.797541,8106.457001,7831.849264,7451.541164,7179.68473,6885.874773,,
102488,동서상가,개방,37.52800851,127.0388729,37.52800851,,,,,,,,,,,,,,,,,,,447619.0351,203435.6578,,11568.24284,11101.52526,10794.60087,10490.61286,10236.10399,9911.087776,9505.082166,9154.095834,8591.807656,8202.413,7927.748229,7547.231731,7275.143434,6981.302839,,
102543,야구회관,개,37.48836706,127.0326617,37.48836706,,,,,,,,,,,,,,,,,,,443219.6038,202888.2276,,13418.07824,12877.21192,12505.61257,12145.44946,11899.0483,11562.83099,11099.24658,10720.4199,10078.47488,9707.6852,9442.039063,9037.059934,8733.787294,8473.764197,,
102544,성담빌딩,개방,37.50577583,127.0507702,37.50577583,,,,,,,,,,,,,,,,,,,445152.2536,204488.4944,,13603.74104,13098.06242,12757.72215,12423.49384,12168.28576,11832.26401,11391.79268,11020.30302,10406.93023,10015.8193,9737.438513,9333.06257,9036.341623,8748.019478,,
102500,중구청소년수련관,개방,37.55196114,127.0124751,37.55196114,,,,,,,,,,,,,,,,,,,450276.5632,201102.2194,,8554.290614,8155.968212,7907.734198,7660.510662,7419.441092,7128.009416,6798.955053,6504.522067,6071.448501,5724.138309,5486.726963,5196.046191,5007.250254,4751.959951,,
102502,케이티중앙지사,개방,37.56186876,126.9826583,37.56186876,,,,,,,,,,,,,,,,,,,451376.1417,198468.002,,5781.169023,5428.598907,5224.811338,5026.484971,4805.218649,4554.635462,4313.052785,4095.564248,3842.499277,3592.691819,3440.519693,3320.127631,3282.511614,3152.990749,,
102392,GS휘경주유소화장실,개방,37.59120568,127.0671505,37.59120568,,,,,,,,,,,,,,,,,,,454633.8318,205929.8734,,13477.73587,13259.95466,13143.95436,13016.23053,12822.77104,12613.47643,12423.93635,12229.94865,11977.23861,11704.34205,11522.72566,11327.87585,11210.13481,11000.20332,,
102393,팔팔주유소화장실,개방,37.487325,126.9667377,37.487325,,,,,,,,,,,,,,,,,,,443103.9798,197058.6214,,,,,,,,,,,,,,,,,
102394,남성주유소화장실,개방,37.48874943,126.9819695,37.48874943,,,,,,,,,,,,,,,,,,,443261.689,198405.5967,,,,,,,,,,,,,,,,,
102413,길동해뜨는주유소화장실,개방,37.53606706,127.1461751,37.53606706,,,,,,,,,,,,,,,,,,,448522.6684,212917.8355,,,,,,,,,,,,,,,,,
102414,길동주유소화장실,개방,37.53349225,127.1411812,37.53349225,,,,,,,,,,,,,,,,,,,448236.2523,212476.9416,,,,,,,,,,,,,,,,,
102534,화성빌딩,민간개방화장실,37.45740954,126.898902,37.45740954,,,,,,,,,,,,,,,,,,,439788.4016,191056.3589,,,,,,,,,,,,,,,,,
102535,강강술래,민간개방화장실,37.4507821,126.9014388,37.4507821,,,,,,,,,,,,,,,,,,,439052.688,191280.0078,,,,,,,,,,,,,,,,,
