업소명,소재지도로명,소재지지번,업태명,주된음식,행정동명
하노이의아침,서울특별시 서대문구 연희맛로 10 (연희동지상1층),서울특별시 서대문구 연희동  188번지 16호  지상1층,기타,베트남음식,연희동
연희동 영월,서울특별시 서대문구 연희로 81-21 2층 (연희동),서울특별시 서대문구 연희동  193번지 17호  2층,한식,낙지찜,연희동
연희동 영월,서울특별시 서대문구 연희로 81-21 2층 (연희동),서울특별시 서대문구 연희동  193번지 17호  2층,한식,한식,연희동
종로보쌈,서울특별시 서대문구 충정로 73 (충정로2가),서울특별시 서대문구 충정로2가  124번지  ,경양식,,충현동
종로보쌈,서울특별시 서대문구 충정로 73 (충정로2가),서울특별시 서대문구 충정로2가  124번지  ,경양식,보쌈정식,충현동
신촌영양센타,서울특별시 서대문구 연세로4길 34 (창천동(지상1층)),서울특별시 서대문구 창천동  13번지 37호  (지상1층),한식,삼계탕,신촌동
모슬포,서울특별시 서대문구 연세로4길 22 1층 (창천동),서울특별시 서대문구 창천동  13번지 52호  1층,한식,정식코스,신촌동
모슬포,서울특별시 서대문구 연세로4길 22 1층 (창천동),서울특별시 서대문구 창천동  13번지 52호  1층,한식,일식,신촌동
장위동유성집,서울특별시 서대문구 경기대로 63 (충정로2가6),서울특별시 서대문구 충정로2가  69번지 5호  6,분식,,충현동
한국회관,서울특별시 서대문구 백련사길 130 (홍은동(지하1층지상1층)),서울특별시 서대문구 홍은동  312번지  (지하1층지상1층),한식,두부요리,홍은제2동
한국회관,서울특별시 서대문구 백련사길 130 (홍은동(지하1층지상1층)),서울특별시 서대문구 홍은동  312번지  (지하1층지상1층),한식,,홍은제2동
월순 철판 동태찜,서울특별시 서대문구 연희로11가길 50 (연희동 274-1(지하1층)),서울특별시 서대문구 연희동  191번지 2호   274-1(지하1층),한식,동태찜,연희동
사랑채,서울특별시 서대문구 수색로2길 8 (남가좌동),서울특별시 서대문구 남가좌동  102번지 16호  ,한식,감자탕,남가좌제1동
사랑채,서울특별시 서대문구 수색로2길 8 (남가좌동),서울특별시 서대문구 남가좌동  102번지 16호  ,한식,감자탕,남가좌제1동
영광굴비백반,서울특별시 서대문구 모래내로 352 (홍은동),서울특별시 서대문구 홍은동  274번지 35호  ,한식,굴비백반,홍은제2동
영광굴비백반,서울특별시 서대문구 모래내로 352 (홍은동),서울특별시 서대문구 홍은동  274번지 35호  ,한식,,홍은제2동
영광굴비백반,서울특별시 서대문구 모래내로 352 (홍은동),서울특별시 서대문구 홍은동  274번지 35호  ,한식,정식,홍은제2동
연궁복집,서울특별시 서대문구 연희맛로 34 (연희동),서울특별시 서대문구 연희동  137번지 13호  ,한식,복매운탕,연희동
연궁복집,서울특별시 서대문구 연희맛로 34 (연희동),서울특별시 서대문구 연희동  137번지 13호  ,한식,일식,연희동
연궁복집,서울특별시 서대문구 연희맛로 34 (연희동),서울특별시 서대문구 연희동  137번지 13호  ,한식,복매운탕,연희동
엉터리생고기 연희점,서울특별시 서대문구 연희맛로 4 1층 (연희동),서울특별시 서대문구 연희동  193번지 16호  1층,한식,추어탕,연희동
엉터리생고기 연희점,서울특별시 서대문구 연희맛로 4 1층 (연희동),서울특별시 서대문구 연희동  193번지 16호  1층,한식,한식,연희동
어바웃샤브 서대문점,서울특별시 서대문구 충정로 71 (충정로2가),서울특별시 서대문구 충정로2가  91번지 2호  ,정종/대포집/소주방,샤브샤브,충현동
엉터리생고기(북가좌점),서울특별시 서대문구 응암로 63 (북가좌동),서울특별시 서대문구 북가좌동  307번지 4호  ,분식,돼지고기구이,북가좌제1동
무한식육,서울특별시 서대문구 증가로 117-1 1층 (남가좌동),서울특별시 서대문구 남가좌동  338번지 5호  1층,한식,돼지고기구이,남가좌제2동
